fecha;turno;categoria;maquina;gramaje;ancho;peso_kg;metros_lineales;arranque;rangos;ajustes_de_maquina;merma_kg;merma_mts
16/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;1183;36685;7;0;25;32;1125.18
16/03/2026;B;BOPP/PP Cast/;SIMPLEX 2;63;900;2025;34452;14;0;0;14;246.91
16/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.7;1078;1031;26905;14;0;0;14;409.68
17/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;1038;27064;26;0;0;26;761.84
17/03/2026;A;BOPP/COEX/;SIMPLEX 2;52.08;960;2349;43772;29;0;0;29;580.03
17/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;2966;93092;24;0;0;24;843.88
17/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;45.3;1080;1553;28891;14.2;0;8;22.2;453.77
17/03/2026;B;BOPP/COEX/;SIMPLEX 2;52.08;960;2783;51097;22;0;0;22;440.02
18/03/2026;A;BOPP/Metalizado/;SIMPLEX 2;28.4;800;1423;51389;28;0;0;28;1232.39
18/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;2047;64611;44;0;0;44;1547.12
18/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;4073;125458;6;0;46;52;1828.41
18/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.4;800;1142;41761;6;0;0;6;264.08
18/03/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;650;290;5548;6;0;0;6;119.2
18/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.4;800;201;7394;16;0;0;16;704.23
19/03/2026;A;Poliester/COEX/;SIMPLEX 2;120.18;665;411;4868;25;25;0;50;625.64
19/03/2026;A;BOPP/PP Cast/;SIMPLEX 2;62.5;510;266;7861;15;0;0;15;470.59
19/03/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;;;2448;77147;28;0;0;28;0
19/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;;;840;19203;7;0;0;7;0
19/03/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;;;1194;14115;3;0;0;3;0
19/03/2026;B;BOPP/Metalizado/;SIMPLEX 2;;;3042;66397;24;0;0;24;0
