fecha;turno;categoria;maquina;gramaje;ancho;peso_kg;metros_lineales;arranque;rangos;ajustes_de_maquina;merma_kg;merma_mts
2/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;3762;117862;68;0;0;68;2391
2/02/2026;B;Poliester/COEX/[Reprint];SIMPLEX 2;36.4;894;80;2304;6;0;0;6;184.38
2/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;2279;72143;42;0;0;42;1476.79
3/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;3956;122161;20;0;0;20;703.23
3/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;545;14247;21;0;0;21;615.33
3/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;900;3091;95085;43;0;0;43;1511.95
3/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;49.3;950;414;9568;44;0;0;44;939.47
3/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;1377;36341;27;0;0;27;791.14
3/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;144;2191;9;0;0;9;140.87
3/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;258;3935;6;0;0;6;93.91
3/02/2026;B;Poliester/COEX/;SIMPLEX 2;120.08;882;1647;19666;36;0;0;36;339.92
4/02/2026;A;Poliester/COEX/;SIMPLEX 2;133.97;882;432;4374;13.5;0;0;13.5;114.25
4/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;2658;60426;46;0;0;46;1183.13
4/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1040;540;16616;5;14;0;19;671.66
4/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;45.38;1080;1204;22601;19;0;0;19;387.67
4/02/2026;A;BOPP/Metalizado/;SUPER SIMPLEX ;36;960;610;15702;8;12;0;20;578.7
4/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;27.2;1040;1014;30954;39;0;0;39;1378.68
4/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;3457;90848;43;0;0;43;1259.96
4/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;36.2;894;155;4426;3;0;0;3;92.7
4/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;36.2;894;468;13278;14;0;0;14;432.6
4/02/2026;B;Poliester/COEX/[Reprint];SIMPLEX 2;36.2;860;1753;49147;0;0;0;0;0
4/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1169;36746;9;0;0;9;316.46
5/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;900;3447;106940;38;0;0;38;1336.15
5/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;3993;125527;34;0;0;34;1195.5
6/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1075;33195;13;0;0;13;457.1
6/02/2026;A;Poliester/COEX/;SIMPLEX 2;120.37;882;1277;15462;51;0;0;51;480.37
6/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;2270;59861;24;0;0;24;703.23
6/02/2026;B;BOPP/Metalizado/;SUPER SIMPLEX ;31.6;1080;2693;71515;33;0;0;33;966.95
6/02/2026;B;BOPP/COEX/;SIMPLEX 2;46.21;900;623;14080;14;0;0;14;336.62
7/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.3;741;397;7247;9;0;0;9;167.99
8/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.38;741;398;7150;6;0;0;6;111.87
9/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;801;2169;7;0;0;7;205.11
9/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;28.5;860;467;17306;24;16;0;40;1631.99
9/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;34.9;710;456;17625;12;0;0;12;484.28
9/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;34.9;710;488;18632;17;13;0;30;1210.7
9/02/2026;B;Poliester/COEX/;SIMPLEX 2;120.37;882;1409;16717;24;34;0;58;546.3
9/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;2991;62441;57;0;0;57;809.15
9/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;522;10721;8;0;0;8;113.56
9/02/2026;B;BOPP/Metalizado/;COMBI;31.6;900;2057;65187;21;0;0;21;738.4
10/02/2026;A;BOPP/Metalizado/;COMBI;31.6;900;3623;115983;38;0;0;38;1336.15
10/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;1898;38863;9;0;0;9;127.76
10/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;1754;31929;14;0;0;14;184.78
10/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;560;12817;23;24;0;47;1208.85
10/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;900;873;24009;13;0;0;13;401.23
10/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;63;900;208;36045;39;0;0;39;687.83
10/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;63;900;1883;32397;33;0;0;33;582.01
10/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;900;1603;51162;45;0;0;45;1582.28
10/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;1466;26718;27;0;0;27;356.37
10/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;2307;42096;38;0;0;38;501.56
10/02/2026;B;BOPP/Metalizado/;COMBI;31.6;900;3696;116522;29;0;0;29;1019.69
11/02/2026;A;BOPP/Metalizado/;COMBI;31.6;900;1396;43098;15;0;0;15;527.43
11/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;4215;76143;44;0;0;44;580.75
11/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;1127;30075;11;26.5;0;37.5;1098.8
11/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;2779;74204;23;0;20;43;1259.96
11/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;110;1655;10;0;0;10;156.52
11/02/2026;B;Saranizado/COEX/;SIMPLEX 2;77.44;825;106;1579;12;20;0;32;500.86
11/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;2357;62290;45;0;0;45;1318.57
11/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;2077;37454;38;0;0;38;501.56
11/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;1570;31945;24;0;0;24;340.69
12/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;752;13897;15;0;0;15;197.98
12/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;2841;57668;49;0;0;49;695.59
12/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;3471;90307;29;0;0;29;849.74
12/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;497;12901;7;0;0;7;205.11
12/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;31.6;1080;609;15895;24;0;0;24;703.23
12/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;63;710;628;14924;25;0;0;25;558.91
12/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;63;710;634;14766;32;0;0;32;715.4
12/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;3949;80354;65;0;0;65;922.71
13/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.38;615;1501;32405;14;0;0;14;314.51
13/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;1150;4271;86440;82;0;0;82;1164.04
13/02/2026;A;Saranizado/COEX/;SIMPLEX 2;67.65;825;82;1406;17;20;0;37;662.92
13/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.68;615;696;13580;7;0;0;7;156.61
13/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;63;710;396;9446;5;0;0;5;111.78
13/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;62.7;710;714;17007;19.5;0;0;19.5;438.03
13/02/2026;B;BOPP/PP Cast/;SIMPLEX 2;72.38;615;1404;30622;60;0;0;60;1347.9
13/02/2026;B;BOPP/BOPP/;SIMPLEX 2;54.4;950;345;6338;16;0;0;16;309.6
13/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;362;6794;8;0;0;8;105.59
13/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;900;2264;59170;30;0;0;30;544.17
16/02/2026;A;BOPP/PP Cast/;SIMPLEX 2;72.38;615;1672;35787;38;0;0;38;853.67
16/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;61.26;900;2237;58932;55;0;0;55;997.64
16/02/2026;B;BOPP/COEX/;SUPER SIMPLEX ;61.26;900;2510;60997;15;0;0;15;272.08
16/02/2026;B;BOPP/Metalizado/;SIMPLEX 2;36;1080;4749;109124;48;0;0;48;1234.57
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;562;10288;22;0;0;22;290.37
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;2316;41809;25.8;0;0;25.8;340.53
17/02/2026;A;BOPP/COEX/;SUPER SIMPLEX ;65.88;1150;899;16426;9;0;0;9;118.79
17/02/2026;A;BOPP/Metalizado/;SIMPLEX 2;36;1080;1310;30563;29;0;0;29;745.88
